Family	Binomial	A
Arecaceae	Calamus_karnatakensis	0.067425647
Arecaceae	Calamus_lacciferus	0.070215381
Arecaceae	Calamus_lakshmanae	0.03268513
Arecaceae	Calamus_metzianus	0.061575216
Arecaceae	Calamus_nagbettai	0.115209271
Arecaceae	Calamus_pseudo-tenuis	0.031415927
Arecaceae	Calamus_rotang	0.038013271
Arecaceae	Calamus_stoloniferus	0.023235219
Arecaceae	Calamus_thwaitesii	0.097313974
Arecaceae	Calamus_travancoricus	0.013273229
Arecaceae	Calamus_vattayila	0.045238934
Cunoniaceae	Caldcluvia_rosifolia	0.001385442
Fabaceae	Calicotome_villosa	0.001590431
Fabaceae	Calliandra_fragrans	0.006082123
Fabaceae	Calliandra_hainanensis	0.002596723
Fabaceae	Calliandra_rubiflora	0.00453646
Bignoniaceae	Callichlamys_latifolia	0.018869191
Polygonaceae	Calligonum_comosum	0.009503318
Vochysiaceae	Callisthene_sp	0.012271846
Clusiaceae	Calophyllum_brasiliense	0.024052819
Clusiaceae	Calophyllum_papuanum	0.024331635
Clusiaceae	Calophyllum_pauciflorum	0.014526724
Clusiaceae	Calophyllum_sp	0.024884555
Apocynaceae	Calotropis_procera	0.007853982
Rubiaceae	Calycophyllum_multiflorum	0.001963495
Theaceae	Camellia_acutissima	0.000962113
Theaceae	Camellia_brevistyla	0.001256637
Theaceae	Camellia_caudata	0.001256637
Theaceae	Camellia_chekiangoleosa	0.001256637
Theaceae	Camellia_chrysantha	0.001256637
Theaceae	Camellia_cordifolia	0.000962113
Theaceae	Camellia_cuspidata	0.000962113
Theaceae	Camellia_dehungensis	0.000962113
Theaceae	Camellia_eticulata	0.000706858
Theaceae	Camellia_euphlebia	0.001256637
Theaceae	Camellia_furfuracea	0.000962113
Theaceae	Camellia_gigantocarpa	0.001590431
Theaceae	Camellia_grijsii	0.000962113
Theaceae	Camellia_impressinervis	0.000706858
Theaceae	Camellia_irrawadiensis	0.000706858
Theaceae	Camellia_japonica	0.000706858
Theaceae	Camellia_kissi	0.000807389
Theaceae	Camellia_lapidea	0.001256637
Theaceae	Camellia_longgangensis	0.000834486
Theaceae	Camellia_longruiensis	0.000962113
Theaceae	Camellia_longzhouensis	0.000706858
Theaceae	Camellia_microphylla	0.000962113
Theaceae	Camellia_multiperulata	0.000962113
Theaceae	Camellia_oleifera	0.001017876
Theaceae	Camellia_pitardii	0.001256637
Theaceae	Camellia_polyodonta	0.000962113
Theaceae	Camellia_pubipetala	0.000962113
Theaceae	Camellia_reticulata	0.000706858
Theaceae	Camellia_rosthorniana	0.000706858
Theaceae	Camellia_saluenensis	0.000962113
Theaceae	Camellia_semiserrata	0.000962113
Theaceae	Camellia_sinensis	0.001134115
Theaceae	Camellia_subacutissima	0.000962113
Theaceae	Camellia_taliensis	0.000962113
Theaceae	Camellia_terminalis	0.000706858
Theaceae	Camellia_vietnamensis	0.001452201
Theaceae	Camellia_villosa	0.000706858
Theaceae	Camellia_wumingensis	0.000706858
Anacardiaceae	Campnosperma_spp	0.006792909
Bignoniaceae	Campsis_chinensis	0.011689866
Cornaceae	Camptotheca_acuminata	0.002290221
Burseraceae	Canarium_schweinfurtii	0.038013271
Burseraceae	Canarium_sp	0.0254469
Fabaceae	Candolleodendron_brachystachyum	0.002463009
Canellaceae	Canella_alba	0.004417865
Rubiaceae	Canthium_ciliatum	0.00066052
Rubiaceae	Canthium_inerme	0.001320254
Rubiaceae	Canthium_lactescens	0.000530929
Rubiaceae	Canthium_mundianum	0.001885741
Rubiaceae	Canthium_parasiebenlistii	0.000804248
Rubiaceae	Canthium_setiflorum	0.000572555
Rubiaceae	Canthium_simile	0.001963495
Icacinaceae	Cantleya_corniculata	0.015393804
Brassicaceae	Capparis_cartilaginea	0.004417865
Brassicaceae	Capparis_decidua	0.003318307
Brassicaceae	Capparis_spinosa	0.003651316
Meliaceae	Carapa_grandiflora	0.024052819
Meliaceae	Carapa_guianensis	0.020862139
Meliaceae	Carapa_procera	0.024052819
Caricaceae	Carica_pentagona	0.006503882
Caricaceae	Carica_quercifolia	0.003216991
Lecythidaceae	Cariniana_sp	0.017671459
Boraginaceae	Carmona_microphylla	0.009503318
Betulaceae	Carpinus_betulus	0.002720619
Betulaceae	Carpinus_viminea	0.003117245
Escalloniaceae	Carpodetus_serratus	0.001749741
Juglandaceae	Carya_sp	0.057255526
Caryocaraceae	Caryocar_glabrum	0.017671459
Salicaceae	Casearia_gossypiosperma	0.001385442
Salicaceae	Casearia_obliqua	0.001963495
Fabaceae	Cassia_sieberiana	0.024884555
Rhizophoraceae	Cassipourea_elliptica	0.000683493
Fagaceae	Castanopsis_hystrix	0.014313882
Fagaceae	Castanopsis_indica	0.018869191
Fagaceae	Castanopsis_sp	0.029864765
Fagaceae	Castanopsis_sumatrana	0.022698007
Fabaceae	Castanospermum_australe	0.0254469
Casuarinaceae	Casuarina_cunninghamiana	0.007409446
Casuarinaceae	Casuarina_equisetifolia	0.010207035
Casuarinaceae	Casuarina_glauca	0.010568318
Bignoniaceae	Catalpa_bignonioides	0.025086926
Bignoniaceae	Catalpa_longissima	0.005944679
Bignoniaceae	Catalpa_speciosa	0.006939778
Bignoniaceae	Catophractes_alexandri	0.001885741
Malvaceae	Cavanillesia_platanifolia	0.055154586
Meliaceae	Cedrela_odorata	0.045238934
Fabaceae	Cedrelinga_catenaeformis	0.096211275
Malvaceae	Ceiba_pentandra	0.047143525
Fabaceae	Ceratonia_siliqua	0.006361725
Cercidiphyllaceae	Cercidiphyllum_japonicum	0.002827433
Fabaceae	Cercis_siliquastrum	0.003318307
Rosaceae	Cercocarpus_betuloides	0.001134115
Rosaceae	Cercocarpus_ledifolius	0.001256637
Cactaceae	Cereus_peruvianus	0.00082448
Cactaceae	Cereus_tetragonus	0.000611362
Rhizophoraceae	Ceriops_tagal	0.000962113
Rosaceae	Chaenomeles_sinensis	0.000380133
Rosaceae	Chaenomeles_speciosa	0.000415476
Rosaceae	Chaenomeles_thibetica	0.003117245
Rosaceae	Chamaebatia_australis	0.000490874
Rosaceae	Chamaebatiaria_millefolium	0.000530929
Fabaceae	Chamaecytisus_hirsutus	0.000804248
Ericaceae	Chamaedaphne_calyculata	0.000201062
Bignoniaceae	Chilopsis_linearis	0.010028749
Oleaceae	Chionanthus_sp	0.006082123
Malvaceae	Chiranthodendron_pentadactylon	0.0254469
Chloranthaceae	Chloranthus_erectus	0.000804248
Chloranthaceae	Chloranthus_multistachys	0.001194591
Chloranthaceae	Chloranthus_serratus	0.001520531
Lauraceae	Chlorocardium_rodiei	0.013273229
Sapotaceae	Chrysophyllum_beguei	0.012271846
Sapotaceae	Chrysophyllum_gonocarpum	0.002827433
Sapotaceae	Chrysophyllum_sp	0.008659015
Meliaceae	Chukrasia_tabularis	0.016512996
Cistaceae	Cistus_creticus	0.001256637
Cistaceae	Cistus_salvifolius	0.000855299
Verbenaceae	Citharexylum_myrianthum	0.020358306
Moraceae	Clarisia_racemosa	0.021382465
Brassicaceae	Cleome_droserifolia	0.002375829
Theaceae	Cleyera_incornuta	0.001256637
Theaceae	Cleyera_japonica	0.000962113
Theaceae	Cleyera_obovata	0.000962113
Theaceae	Cleyera_pachyphylla	0.001134115
Rutaceae	Cneorum_pulverulentum	0.004417865
Menispermaceae	Cocculus_pendulus	0.012867964
Rosaceae	Coleogyne_ramosissima	0.000490874
Fabaceae	Colutea_armena	0.001520531
Fabaceae	Colutea_cilicica	0.002827433
Fabaceae	Colutea_istrya	0.002375829
Nyctaginaceae	Commicarpus_africanus	0.006792909
Oleaceae	Comoranthus_minor	0.000962113
Rhamnaceae	Condalia_ericoides	0.001963495
Rhamnaceae	Condalia_lineata	0.001661903
Rhamnaceae	Condalia_lycioides	0.008659015
Rhamnaceae	Condalia_microphylla	0.003019071
Rhamnaceae	Condalia_obovata	0.002206183
Rhamnaceae	Condalia_obtusifolia	0.005674502
Rhamnaceae	Condalia_parryi	0.003318307
Rhamnaceae	Condalia_spathulata	0.001590431
Fabaceae	Copaifera_langsdorfii	0.012271846
Fabaceae	Copaifera_officinalis	0.013069811
Boraginaceae	Cordia_alliodora	0.012778166
Boraginaceae	Cordia_dentata	0.015393804
Boraginaceae	Cordia_elaeagnoides	0.035588354
Boraginaceae	Cordia_excelsa	0.00664761
Boraginaceae	Cordia_glabrata	0.009503318
Boraginaceae	Cordia_goeldiana	0.029347711
Boraginaceae	Cordia_hintonii	0.031415927
Boraginaceae	Cordia_latiloba	0.009503318
Boraginaceae	Cordia_sinensis	0.009503318
Boraginaceae	Cordia_sonorae	0.008040121
Boraginaceae	Cordia_trichotoma	0.009905834
Fabaceae	Cordyla_africana	0.022431757
Cornaceae	Cornus_alba	0.001256637
Cornaceae	Cornus_alsophila	0.001017876
Cornaceae	Cornus_alternifolia	0.001734945
Cornaceae	Cornus_amomum	0.001452201
Cornaceae	Cornus_angustata	0.001809557
Cornaceae	Cornus_asperifolia	0.001256637
Cornaceae	Cornus_bretschneideri	0.003117245
Cornaceae	Cornus_canadensis	0.000530929
Cornaceae	Cornus_capitata	0.001555481
Cornaceae	Cornus_chinensis	0.002206183
Cornaceae	Cornus_controversa	0.003251088
Cornaceae	Cornus_coreana	0.003216991
Cornaceae	Cornus_darvasica	0.000804248
Cornaceae	Cornus_disciflora	0.004656626
Cornaceae	Cornus_drummondi	0.001452201
Cornaceae	Cornus_excelsa	0.001520531
Cornaceae	Cornus_ferruginea	0.001963495
Cornaceae	Cornus_florida	0.002463009
Cornaceae	Cornus_glabrata	0.00107521
Cornaceae	Cornus_hongkongensis	0.002290221
Cornaceae	Cornus_kousa	0.002365576
